,timestamp
339,2025-08-29T18:41:40.375833
340,2025-08-29T18:41:40.648680
341,2025-08-29T18:41:40.914805
342,2025-08-29T18:41:41.187711
343,2025-08-29T18:41:41.460741
344,2025-08-29T18:41:41.732898
345,2025-08-29T18:41:42.000097
346,2025-08-29T18:41:42.268007
347,2025-08-29T18:41:42.538551
348,2025-08-29T18:41:42.806923
349,2025-08-29T18:41:43.074779
350,2025-08-29T18:41:43.365681
351,2025-08-29T18:41:43.655375
352,2025-08-29T18:41:43.905431
353,2025-08-29T18:41:44.222060
354,2025-08-29T18:41:44.459544
355,2025-08-29T18:41:44.733825
356,2025-08-29T18:41:45.006733
357,2025-08-29T18:41:45.289708
358,2025-08-29T18:41:45.557367
359,2025-08-29T18:41:45.824565
360,2025-08-29T18:41:46.093614
361,2025-08-29T18:41:46.367597
362,2025-08-29T18:41:46.643934
363,2025-08-29T18:41:46.907532
364,2025-08-29T18:41:47.179838
365,2025-08-29T18:41:47.453373
366,2025-08-29T18:41:47.722173
367,2025-08-29T18:41:47.989232
368,2025-08-29T18:41:48.258215
369,2025-08-29T18:41:48.527774
370,2025-08-29T18:41:48.801407
371,2025-08-29T18:41:49.068828
372,2025-08-29T18:41:49.343447
373,2025-08-29T18:41:49.611981
374,2025-08-29T18:41:49.881683
375,2025-08-29T18:41:50.159104
376,2025-08-29T18:41:50.431326
377,2025-08-29T18:41:50.697236
378,2025-08-29T18:41:50.968118
379,2025-08-29T18:41:51.248476
380,2025-08-29T18:41:51.513922
381,2025-08-29T18:41:51.786040
382,2025-08-29T18:41:52.064332
383,2025-08-29T18:41:52.341041
384,2025-08-29T18:41:52.617974
385,2025-08-29T18:41:52.883716
386,2025-08-29T18:41:53.179598
387,2025-08-29T18:41:53.472354
388,2025-08-29T18:41:53.774713
389,2025-08-29T18:41:54.083161
390,2025-08-29T18:41:54.385508
391,2025-08-29T18:41:54.686224
392,2025-08-29T18:41:54.980522
393,2025-08-29T18:41:55.284081
394,2025-08-29T18:41:55.581773
395,2025-08-29T18:41:55.880835
396,2025-08-29T18:41:56.177395
397,2025-08-29T18:41:56.480819
398,2025-08-29T18:41:56.775593
399,2025-08-29T18:41:57.079302
400,2025-08-29T18:41:57.375415
401,2025-08-29T18:41:57.631540
402,2025-08-29T18:41:57.900738
403,2025-08-29T18:41:58.179012
404,2025-08-29T18:41:58.457156
405,2025-08-29T18:41:58.724718
406,2025-08-29T18:41:58.997121
407,2025-08-29T18:41:59.267522
408,2025-08-29T18:41:59.544962
409,2025-08-29T18:41:59.814931
410,2025-08-29T18:42:00.081045
411,2025-08-29T18:42:00.370708
412,2025-08-29T18:42:00.669934
413,2025-08-29T18:42:00.981808
414,2025-08-29T18:42:01.284994
415,2025-08-29T18:42:01.576686
416,2025-08-29T18:42:01.834676
417,2025-08-29T18:42:02.114376
418,2025-08-29T18:42:02.393346
419,2025-08-29T18:42:02.669414
420,2025-08-29T18:42:02.939585
421,2025-08-29T18:42:03.208165
422,2025-08-29T18:42:03.481495
423,2025-08-29T18:42:03.755584
424,2025-08-29T18:42:04.024608
425,2025-08-29T18:42:04.287581
426,2025-08-29T18:42:04.562554
427,2025-08-29T18:42:04.834681
428,2025-08-29T18:42:05.100321
429,2025-08-29T18:42:05.374032
430,2025-08-29T18:42:05.647763
431,2025-08-29T18:42:05.917988
432,2025-08-29T18:42:06.189283
433,2025-08-29T18:42:06.430835
434,2025-08-29T18:42:06.707559
435,2025-08-29T18:42:06.991219
436,2025-08-29T18:42:07.270936
437,2025-08-29T18:42:07.552603
438,2025-08-29T18:42:07.822152
439,2025-08-29T18:42:08.090328
440,2025-08-29T18:42:08.364609
441,2025-08-29T18:42:08.634821
442,2025-08-29T18:42:08.896822
443,2025-08-29T18:42:09.171446
444,2025-08-29T18:42:09.445640
445,2025-08-29T18:42:09.718829
446,2025-08-29T18:42:09.991217
447,2025-08-29T18:42:10.261514
448,2025-08-29T18:42:10.555739
449,2025-08-29T18:42:10.862714
450,2025-08-29T18:42:11.177966
451,2025-08-29T18:42:11.485815
452,2025-08-29T18:42:11.796290
453,2025-08-29T18:42:12.104565
454,2025-08-29T18:42:12.414432
455,2025-08-29T18:42:12.673160
456,2025-08-29T18:42:12.955128
457,2025-08-29T18:42:13.226827
458,2025-08-29T18:42:13.491811
459,2025-08-29T18:42:13.776434
460,2025-08-29T18:42:14.056175
461,2025-08-29T18:42:14.330281
462,2025-08-29T18:42:14.597877
463,2025-08-29T18:42:14.871043
464,2025-08-29T18:42:15.169004
465,2025-08-29T18:42:15.460813
466,2025-08-29T18:42:15.773029
467,2025-08-29T18:42:16.080760
468,2025-08-29T18:42:16.383364
469,2025-08-29T18:42:16.686868
470,2025-08-29T18:42:16.948590
471,2025-08-29T18:42:17.263109
472,2025-08-29T18:42:17.580668
473,2025-08-29T18:42:17.876302
474,2025-08-29T18:42:18.176018
475,2025-08-29T18:42:18.482700
476,2025-08-29T18:42:18.790620
477,2025-08-29T18:42:19.049218
478,2025-08-29T18:42:19.331512
479,2025-08-29T18:42:19.614778
480,2025-08-29T18:42:19.901999
481,2025-08-29T18:42:20.142582
482,2025-08-29T18:42:20.443714
483,2025-08-29T18:42:20.725543
484,2025-08-29T18:42:21.000247
485,2025-08-29T18:42:21.268740
486,2025-08-29T18:42:21.569260
487,2025-08-29T18:42:21.868020
488,2025-08-29T18:42:22.184577
489,2025-08-29T18:42:22.500280
490,2025-08-29T18:42:22.804777
491,2025-08-29T18:42:23.117684
492,2025-08-29T18:42:23.420180
493,2025-08-29T18:42:23.710687
494,2025-08-29T18:42:24.021179
495,2025-08-29T18:42:24.311958
496,2025-08-29T18:42:24.622804
497,2025-08-29T18:42:24.912645
498,2025-08-29T18:42:25.219014
499,2025-08-29T18:42:25.446131
