,durations_s,timestamps
262,0.058649,2025-08-29T18:11:37.723192
263,0.057517,2025-08-29T18:11:37.780766
264,0.059302,2025-08-29T18:11:37.840123
265,0.057779,2025-08-29T18:11:37.897958
266,0.066795,2025-08-29T18:11:37.964821
267,0.064459,2025-08-29T18:11:38.029349
268,0.05871,2025-08-29T18:11:38.088117
269,0.059368,2025-08-29T18:11:38.147544
270,0.05849,2025-08-29T18:11:38.206110
271,0.067366,2025-08-29T18:11:38.273549
272,0.067971,2025-08-29T18:11:38.341595
273,0.065912,2025-08-29T18:11:38.407572
274,0.059656,2025-08-29T18:11:38.467337
275,0.065539,2025-08-29T18:11:38.532944
276,0.059862,2025-08-29T18:11:38.592866
277,0.058813,2025-08-29T18:11:38.651747
278,0.057846,2025-08-29T18:11:38.709659
279,0.070726,2025-08-29T18:11:38.780449
280,0.059089,2025-08-29T18:11:38.839599
281,0.058669,2025-08-29T18:11:38.898325
282,0.058012,2025-08-29T18:11:38.956399
283,0.058166,2025-08-29T18:11:39.014625
284,0.059972,2025-08-29T18:11:39.074654
285,0.057882,2025-08-29T18:11:39.132587
286,0.058656,2025-08-29T18:11:39.191300
287,0.058882,2025-08-29T18:11:39.250249
288,0.058356,2025-08-29T18:11:39.308667
289,0.059113,2025-08-29T18:11:39.367839
290,0.058138,2025-08-29T18:11:39.426034
291,0.058591,2025-08-29T18:11:39.484682
292,0.058509,2025-08-29T18:11:39.543260
293,0.058426,2025-08-29T18:11:39.601744
294,0.058764,2025-08-29T18:11:39.660570
295,0.059824,2025-08-29T18:11:39.720463
296,0.058113,2025-08-29T18:11:39.778660
297,0.069885,2025-08-29T18:11:39.848617
298,0.058917,2025-08-29T18:11:39.907594
299,0.058581,2025-08-29T18:11:39.966231
300,0.059358,2025-08-29T18:11:40.027615
301,0.059746,2025-08-29T18:11:40.087417
302,0.060172,2025-08-29T18:11:40.147654
303,0.059342,2025-08-29T18:11:40.207059
304,0.066775,2025-08-29T18:11:40.274108
305,0.059213,2025-08-29T18:11:40.333438
306,0.065976,2025-08-29T18:11:40.399491
307,0.065971,2025-08-29T18:11:40.465541
308,0.061868,2025-08-29T18:11:40.527495
309,0.067533,2025-08-29T18:11:40.595116
310,0.062302,2025-08-29T18:11:40.657503
311,0.059009,2025-08-29T18:11:40.716583
312,0.057874,2025-08-29T18:11:40.774538
313,0.065013,2025-08-29T18:11:40.839625
314,0.058286,2025-08-29T18:11:40.897973
315,0.059095,2025-08-29T18:11:40.957123
316,0.059055,2025-08-29T18:11:41.016240
317,0.05777,2025-08-29T18:11:41.074068
318,0.058185,2025-08-29T18:11:41.132311
319,0.058086,2025-08-29T18:11:41.190454
320,0.066462,2025-08-29T18:11:41.256976
321,0.064398,2025-08-29T18:11:41.321443
322,0.058816,2025-08-29T18:11:41.380319
323,0.057833,2025-08-29T18:11:41.438220
324,0.058179,2025-08-29T18:11:41.496460
325,0.059817,2025-08-29T18:11:41.556344
326,0.058637,2025-08-29T18:11:41.615045
327,0.05822,2025-08-29T18:11:41.673323
328,0.060228,2025-08-29T18:11:41.733607
329,0.059605,2025-08-29T18:11:41.793275
330,0.0588,2025-08-29T18:11:41.852131
331,0.058207,2025-08-29T18:11:41.910396
332,0.058364,2025-08-29T18:11:41.968818
333,0.057907,2025-08-29T18:11:42.026791
334,0.058357,2025-08-29T18:11:42.085217
335,0.058198,2025-08-29T18:11:42.143472
336,0.057676,2025-08-29T18:11:42.201210
337,0.058833,2025-08-29T18:11:42.260100
338,0.057376,2025-08-29T18:11:42.317534
339,0.058793,2025-08-29T18:11:42.376389
340,0.058357,2025-08-29T18:11:42.434803
341,0.058898,2025-08-29T18:11:42.493768
342,0.058572,2025-08-29T18:11:42.552398
343,0.058189,2025-08-29T18:11:42.610648
344,0.058562,2025-08-29T18:11:42.669269
345,0.059919,2025-08-29T18:11:42.729249
346,0.058551,2025-08-29T18:11:42.787856
347,0.05872,2025-08-29T18:11:42.846635
348,0.058592,2025-08-29T18:11:42.905283
349,0.058675,2025-08-29T18:11:42.964021
350,0.058491,2025-08-29T18:11:43.022575
351,0.058856,2025-08-29T18:11:43.081506
352,0.071001,2025-08-29T18:11:43.152589
353,0.060387,2025-08-29T18:11:43.213055
354,0.066743,2025-08-29T18:11:43.279865
355,0.066111,2025-08-29T18:11:43.346048
356,0.067183,2025-08-29T18:11:43.413310
357,0.06187,2025-08-29T18:11:43.475265
358,0.067093,2025-08-29T18:11:43.542475
359,0.058903,2025-08-29T18:11:43.601460
360,0.065695,2025-08-29T18:11:43.667229
361,0.059684,2025-08-29T18:11:43.726994
362,0.064682,2025-08-29T18:11:43.791752
363,0.065189,2025-08-29T18:11:43.857026
364,0.06765,2025-08-29T18:11:43.924756
365,0.07005,2025-08-29T18:11:43.994897
366,0.065737,2025-08-29T18:11:44.060717
367,0.066335,2025-08-29T18:11:44.127121
368,0.058736,2025-08-29T18:11:44.185925
369,0.059275,2025-08-29T18:11:44.245255
370,0.057745,2025-08-29T18:11:44.303062
371,0.060087,2025-08-29T18:11:44.363217
372,0.058518,2025-08-29T18:11:44.421797
373,0.058699,2025-08-29T18:11:44.480553
374,0.057726,2025-08-29T18:11:44.538338
375,0.058096,2025-08-29T18:11:44.596494
376,0.059047,2025-08-29T18:11:44.655603
377,0.057725,2025-08-29T18:11:44.713391
378,0.058897,2025-08-29T18:11:44.772353
379,0.058265,2025-08-29T18:11:44.830680
380,0.057913,2025-08-29T18:11:44.888654
381,0.057923,2025-08-29T18:11:44.946643
382,0.057951,2025-08-29T18:11:45.004671
383,0.058938,2025-08-29T18:11:45.063668
